mythicLevel,score,parTimeMs,clearTimeMs,percentRemaining,bonus
12,112.0,2160999,1816948,0.15920923609867474,2.0
12,111.5,2460999,2163021,0.1210800979602186,1.5
12,111.0,2220999,2043169,0.08006757319566556,1.0
12,110.4,1800999,1738570,0.03466353951334787,0.4000000000000057
13,108.4,1920999,2172994,-0.13117914168617476,-6.599999999999994
11,107.2,2580999,2117383,0.17962657095179038,2.200000000000003
13,106.6,2340999,2975533,-0.2710526574338562,-8.400000000000006
10,102.4,2280999,1841367,0.19273660356712125,2.4000000000000057
10,101.9,2220999,1884407,0.15154982059874858,1.9000000000000057
12,100.6,2340999,3160625,-0.3501180478932285,-9.400000000000006
9,87.2,2460999,2037555,0.1720618334261818,2.200000000000003
7,77.8,2160999,1669383,0.22749478366255607,2.799999999999997
10,101.9,2160999,1824536,0.1556978971299848,1.9000000000000057
10,101.2,2460999,2217379,0.09899231978558301,1.2000000000000028
9,88.2,2340999,1735927,0.2584674320663956,3.200000000000003
9,86.2,1920999,1739393,0.09453726941034327,1.2000000000000028
8,83.3,2220999,1630247,0.26598481133940177,3.299999999999997
9,76.9,2580999,3227223,-0.2503774701191283,-8.099999999999994
7,75.4,2280999,2213011,0.029806238406943623,0.4000000000000057
6,56.8,1800999,2259252,-0.2544437837000465,-8.200000000000003
6,68.5,2460999,1770747,0.28047634314357706,3.5
6,65.3,2220999,2175533,0.02047096824447017,0.29999999999999716
4,57.2,2160999,1783291,0.17478397722534808,2.200000000000003
12,0.0,2340999,3422796,-0.46210912520680275,-110.0
6,0.0,1800999,3407868,-0.8922098235479309,-65.0
14,123.3,2160999,1598478,0.2603059973651075,3.299999999999997
13,116.9,2340999,1975900,0.1559586313364508,1.9000000000000057
13,115.8,1800999,1681071,0.0665897093779619,0.7999999999999972
14,113.9,2220999,2416264,-0.08791764426728693,-6.099999999999994
14,112.3,1920999,2338671,-0.21742437138176543,-7.700000000000003
12,111.5,2460999,2170852,0.11789805684602066,1.5
12,111.4,2580999,2290042,0.11273038075566864,1.4000000000000057
11,105.1,2280999,2258609,0.009815874535674939,0.09999999999999432
14,113.0,1800999,2090810,-0.16091680228584246,-7.0
13,108.8,2580999,2826610,-0.09516121470794836,-6.200000000000003
11,107.3,2160999,1762645,0.1843378918731568,2.299999999999997
11,105.5,2220999,2124943,0.04324900641558146,0.5
11,105.5,2340999,2254419,0.03698421058701862,0.5
5,53.5,2340999,2626614,-0.12200560529927608,-6.5
2,45.0,2460999,1222026,0.5034431139549427,5.0
18,142.1,2280999,1894155,0.16959411205353445,2.0999999999999943
18,142.1,2340999,1945841,0.16879887603540197,2.0999999999999943
17,138.2,2160999,1609235,0.2553282070005585,3.1999999999999886
17,136.6,1920999,1680389,0.12525253787222168,1.5999999999999943
17,136.4,2460999,2192461,0.1091174762769103,1.4000000000000057
17,135.9,1800999,1672177,0.07152807969354785,0.9000000000000057
17,135.8,2580999,2426063,0.060029469209403025,0.8000000000000114
17,135.6,2220999,2116758,0.04693428497716568,0.5999999999999943
17,136.2,2460999,2229969,0.09387651112414105,1.1999999999999886
17,135.6,2280999,2167384,0.049809316005837795,0.5999999999999943
17,135.2,2160999,2133727,0.012620089134701126,0.19999999999998863
18,134.3,2340999,2470741,-0.05542163836891857,-5.699999999999989
18,132.9,2580999,3008039,-0.16545531400825805,-7.099999999999994
18,132.7,1800999,2135119,-0.18551925903345864,-7.300000000000011
16,130.6,2220999,2119330,0.045776247535455894,0.5999999999999943
17,130.0,1920999,1923311,-0.0012035404495265225,-5.0
15,129.5,2460999,1581843,0.35723541537400055,4.5
15,127.3,2340999,1912948,0.18284971501482913,2.299999999999997
15,126.7,2220999,1918746,0.1360887600579739,1.7000000000000028
15,126.7,2280999,1974266,0.13447309709473787,1.7000000000000028
15,125.9,2580999,2387976,0.07478615838285874,0.9000000000000057
16,122.9,2160999,2524666,-0.16828651933665864,-7.099999999999994
16,121.7,1920999,2431185,-0.2655836884870841,-8.299999999999997
16,120.4,1800999,2466396,-0.369459949727901,-9.599999999999994
14,122.6,2280999,1800100,0.21082823797818412,2.5999999999999943
14,122.5,2220999,1772588,0.20189608369927226,2.5
13,115.3,2460999,2404128,0.023108908211665263,0.29999999999999716
14,113.1,1920999,2214944,-0.15301673764536056,-6.900000000000006
13,106.6,2580999,3284017,-0.27238212800547384,-8.400000000000006
11,106.5,1800999,1582093,0.1215469858672881,1.5
11,106.1,2160999,1965723,0.09036376231548464,1.0999999999999943
10,100.3,2340999,2281096,0.025588648265121,0.29999999999999716
3,46.8,1920999,1642941,0.14474656155469107,1.7999999999999972
17,137.0,2460999,2059486,0.16315041168241026,2.0
17,136.0,1920999,1766940,0.08019733482422427,1.0
17,135.7,2220999,2099870,0.05453807048089621,0.6999999999999886
17,135.3,2340999,2287128,0.023011970530529915,0.30000000000001137
16,132.0,2160999,1813284,0.16090474822061462,2.0
16,131.5,1800999,1583561,0.12073188269399372,1.5
16,131.2,2280999,2065220,0.09459846321721316,1.1999999999999886
16,130.7,2580999,2439577,0.05479351212456882,0.6999999999999886
17,136.1,2460999,2250978,0.08533973398607639,1.0999999999999943
16,131.9,2160999,1825408,0.15529438005292923,1.9000000000000057
16,131.2,2220999,2000145,0.09943903621748591,1.1999999999999886
